Week #,# of pos (Total),# of pos (0-4 years),# of pos (5-17 years),# of pos (18-49 years),# of pos(50-64 years),# of pos(65+ years)
10,193,2,28,81,36,27
11,816,6,39,276,214,211
12,1449,8,25,498,419,426
13,2250,5,14,735,666,780
14,69427,342,1199,33787,21139,12770
15,65365,358,1369,31468,20187,11639
16,48460,246,1279,23151,14694,8824
17,40699,151,1203,19187,11727,8063
18,31924,174,1103,15405,8969,6179
19,22872,145,834,10551,6260,5071
20,19742,141,798,9188,5077,4373
21,17192,111,566,7819,4490,3836
22,11392,64,404,5044,2987,2646
23,8308,53,285,3528,2064,2240
24,6454,47,244,2906,1602,1293
25,5767,36,175,2975,1306,1039
26,5447,41,236,3221,1160,850
27,5176,42,269,3038,1050,638
28,6293,53,317,3841,1203,802
29,6698,65,410,4092,1284,741
30,5971,61,350,3488,1078,646
31,5252,60,382,2947,826,480
32,5027,67,338,2756,1044,695
33,4446,67,359,2485,873,502
34,4453,65,354,2395,801,464
35,4660,72,374,2700,858,492
36,5346,71,367,3319,837,488
37,5341,76,373,3342,911,475
38,5634,83,372,3263,1000,590
39,7000,90,572,3701,1127,623
40,8471,127,777,4892,1525,766
41,9389,195,825,5570,1639,925
42,10491,186,947,5973,1957,1022
43,13814,211,1125,7830,2595,1413
44,15022,286,1393,8441,2922,1334
45,21924,385,2066,12376,4096,1974
46,31299,611,3096,17573,6593,3086
47,27521,529,2408,13013,5044,2592
